"Token","AuthorityTier","RelativePath","LineNumber","Line"
"ALLOWED_PHASE_STATUS","CORE_GUARD","scripts\roadmap_guard.py","84","if status is not None and status not in ALLOWED_PHASE_STATUS:"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","44","'docs[\\/]governance[\\/]ROADMAP_CURRENT\.json'"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","45","'repo_root\s*/\s*[""'']docs[""'']\s*/\s*[""'']governance[""'']\s*/\s*[""'']ROADMAP_CURRENT\.json[""'']'"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","49","'Join-Path\s+[^`r`n]+[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","50","'Test-Path\s+[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","51","'ReadAllBytes\(\s*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']\s*\)',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","52","'Get-Content\s+[^`r`n]*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","53","'Set-Content\s+[^`r`n]*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","54","'WriteAllText\(\s*[^`r`n]*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","55","'open\(\s*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","56","'repo_root\s*\/\s*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","57","'Path\(\s*[""''](?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']\s*\)',"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","58","'[""''][^""'']*(?:AUDIT[\\/])?ROADMAP_CURRENT\.json[""'']'"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","110","if ($Line -notmatch 'ROADMAP_CURRENT\.json') {"
"ROADMAP_CURRENT","CI",".github\scripts\enforce-roadmap-authority.ps1","167","Write-Host ""   docs/governance/ROADMAP_CURRENT.json"" -ForegroundColor Green"
"ROADMAP_CURRENT","CI",".github\scripts\governance-guard.ps1","40","'docs/governance/ROADMAP_CURRENT.json',"
"ROADMAP_CURRENT","CI",".github\workflows\autopilot-roadmap.yml","20","- run: python scripts/resolve_next_action.py --manifest docs/governance/ROADMAP_CURRENT.json --check --write"
"ROADMAP_CURRENT","CI",".github\workflows\autopilot-roadmap.yml","21","- run: python scripts/resolve_next_action.py --manifest docs/governance/ROADMAP_CURRENT.json --lookahead 33 --write"
"ROADMAP_CURRENT","CI",".github\workflows\autopilot-roadmap.yml","25","git add docs/governance/ROADMAP_CURRENT.json docs/governance/NEXT_ACTIONS.json"
"ROADMAP_CURRENT","CI",".github\workflows\operational-roadmap.yml","6","- 'docs/governance/ROADMAP_CURRENT.json'"
"ROADMAP_CURRENT","CI",".github\workflows\operational-roadmap-enforcement.yml","5","- 'docs/governance/ROADMAP_CURRENT.json'"
"ROADMAP_CURRENT","CI",".github\workflows\roadmap-integrity.yml","6","- ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CI",".github\workflows\roadmap-integrity.yml","13","- ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CI",".github\workflows\roadmap-integrity.yml","40","python -c ""import json,sys; d=json.load(open('docs/governance/ROADMAP_CURRENT.json',encoding='utf-8')); v=d.get('authority',{}).get('source') or d.get('source_of_truth'); print('source_of_truth =', v); sys.exit(0 if v=='repository_files_only' else 1)"""
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\CANONICAL_ROADMAP_DECLARATION.md","5","Canonical machine-readable roadmap state: `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\CANONICAL_ROADMAP_DECLARATION.md","15","- Machine-readable active roadmap state: `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\CANONICAL_ROADMAP_DECLARATION.md","22","1. `ROADMAP_CURRENT.json` is the active machine-readable roadmap state."
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\DECISION_MATRIX.json","3","""source_of_truth"": ""docs/governance/ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\DECISION_MATRIX.md","5","- Source of truth: `docs/governance/ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\gate-audit-log.txt","3","""canonical_machine"": ""ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\GOVERNANCE_DOCUMENTS_MANIFEST.json","4","""docs/governance/ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\HANDOFF_MCP03.md","60","- `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\MCP03_INVARIANTS.md","12","`docs/governance/ROADMAP_CURRENT.json` in the same commit, and vice versa."
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\MCP03_INVARIANTS.md","27","**Statement:** `ROADMAP_CANONICAL.md` is the sole source of truth; `ROADMAP_CURRENT.json` MUST be a derived, valid artifact."
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\PROJECT_UNITY_AUDIT.md","10","- **Canonical Roadmap:** docs/governance/ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\REPOSITORY_TRUTH.md","24","3. ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\REPOSITORY_TRUTH.md","38","`ROADMAP_CURRENT.json` is the machine-readable active roadmap state."
"ROADMAP_CURRENT","CANONICAL_HUMAN_ROADMAP","docs\governance\ROADMAP_CANONICAL.md","3","Canonical machine source: `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","CANONICAL_HUMAN_ROADMAP","docs\governance\ROADMAP_CANONICAL.md","11","Canonical machine source: `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","CANONICAL_HUMAN_ROADMAP","docs\governance\ROADMAP_CANONICAL.md","24","- `docs/governance/ROADMAP_CURRENT.json` is the canonical machine-readable roadmap authority for operational consumption, but it is generated from this file and must remain a semantically equivalent machine-readable projection of this canonical authority."
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\ROADMAP_CONSTITUTION.md","7","- ROADMAP_CURRENT.json is the active machine-readable roadmap state"
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","49","""ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","283","""ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","413","""ROADMAP_CURRENT.json is regenerated and validates successfully"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","444","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","470","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","496","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","522","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","548","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","574","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","600","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","626","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CANONICAL_MACHINE_ROADMAP","docs\governance\ROADMAP_CURRENT.json","652","""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\ROADMAP_CURRENT.json.RETIRED.txt","3","archive: G:\s43_work\s43_g11_work\.roadmap_archive\20260629_231425\docs\governance\ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\ROADMAP_MANIFEST.json","7","""docs/governance/ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\RUNBOOK-OPTION-A-RESTORE-20260728-051917.md","19","- `docs/governance/ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\SOURCE_OF_TRUTH_HIERARCHY.md","14","8. `ROADMAP_CURRENT.json`"
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\SOURCE_OF_TRUTH_HIERARCHY.md","44","`ROADMAP_CURRENT.json` is the active machine-readable roadmap state."
"ROADMAP_CURRENT","GOVERNANCE_DOC","docs\governance\SOURCE_OF_TRUTH_HIERARCHY.md","48","`ROADMAP.md`, `docs/ROADMAP.md`, and `docs/roadmap/roadmap.index.json` are derivative, index, or public-facing views. They must remain synchronized with canonical roadmap truth but must never override `ROADMAP_CURRENT.json` or `ROADMAP_CANONICAL.md`."
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\atomic_roadmap_writer.py","12","ROADMAP_PATH = Path(""docs/governance/ROADMAP_CURRENT.json"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\atomic_roadmap_writer.py","44","backup_path = BACKUP_DIR / f""ROADMAP_CURRENT_{timestamp}.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\atomic_roadmap_writer.py","46","backups = sorted(BACKUP_DIR.glob(""ROADMAP_CURRENT_*.json""))"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\check_evidence_gate.py","4","ROADMAP = Path('docs/governance/ROADMAP_CURRENT.json')"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\collect-roadmap-runtime-evidence.ps1","59","""docs/governance/ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\collect-roadmap-runtime-evidence.ps1","121","$terms = @(""HOLD"",""HOLD_ACTIVE"",""CONTROLLED_BLOCKED"",""CONTRACT_MISMATCH"",""BLOCKED"",""forbidden_actions"",""allowed_actions"",""unblock"",""exit_criteria"",""stale"",""authority"",""shadow authority"",""NEXT_ACTION"",""STATUS_CLASSIFICATION"",""ROADMAP_CURRENT"",""COMMERCIAL_READINESS_STATE"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\collect-roadmap-runtime-evidence.ps1","193","roadmap_current_exists = (Test-Path ""docs/governance/ROADMAP_CURRENT.json"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\reject-roadmap-shadow-authorities.ps1","4","""ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\reject-roadmap-shadow-authorities.ps1","8","""AUDIT/ROADMAP_CURRENT.json"","
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\reject-roadmap-shadow-authorities.ps1","9","""AUDIT/ROADMAP_CURRENT.md"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","11","(Test-Path (Join-Path $current ""ROADMAP_CURRENT.json"")) -or"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","149","Canonical machine authority: ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","196","canonical_machine: ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","262","$obj | Add-Member -NotePropertyName ""derived_machine_reference"" -NotePropertyValue ""ROADMAP_CURRENT.json"" -Force"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","318","$json | Add-Member -NotePropertyName ""machine_readable_state"" -NotePropertyValue ""ROADMAP_CURRENT.json"" -Force"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","352","$text = $text -replace '(?im)^\s*canonical\s*:.*$', 'canonical: ROADMAP_CURRENT.json'"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","353","$text = $text -replace '(?im)^\s*source_of_truth\s*:.*$', 'source_of_truth: ROADMAP_CURRENT.json'"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","368","$text += ""`ncanonical: ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\repair-roadmap-authority.ps1","412","$canonicalMachine = Join-Path $repoRoot ""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","CORE_RUNTIME_RESOLVER","scripts\resolve_next_action.py","11","DEFAULT_ROADMAP = Path(""docs/governance/ROADMAP_CURRENT.json"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\roadmap_generator.py","4","Generates ROADMAP_CURRENT.json from repository phase documents."
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\roadmap_generator.py","14","""""""Generate ROADMAP_CURRENT.json with all required validation fields."""""""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\roadmap_generator.py","71","repo_root / ""docs"" / ""governance"" / ""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\roadmap_generator.py","87","print(""Generating ROADMAP_CURRENT.json..."")"
"ROADMAP_CURRENT","CORE_GUARD","scripts\roadmap_guard.py","6","ROADMAP_PATH = Path(""docs/governance/ROADMAP_CURRENT.json"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","24","if (-not (Test-Path ""docs/governance/ROADMAP_CURRENT.json"")) {"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","25","throw ""ROADMAP_CURRENT.json not found."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","47","$roadmap = Get-Content -Raw ""docs/governance/ROADMAP_CURRENT.json"" | ConvertFrom-Json"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","51","throw ""PHASE_42_05_DEPENDS_ON_HEADER_PARSING_HARDENING.md not found in ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","60","git diff --exit-code -- docs/governance/ROADMAP_CURRENT.json"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","62","throw ""Generated ROADMAP_CURRENT.json has uncommitted changes. Run scripts/update-roadmap.ps1 and commit the result."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","68","$emptyDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","92","throw ""Temporary empty Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","110","$labelDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","135","throw ""Temporary label Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","155","$filenameDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","180","throw ""Temporary filename Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","199","$trimmedFilenameDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","224","throw ""Temporary trimmed filename Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","243","$mixedDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","271","throw ""Temporary mixed Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","296","$semicolonDependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","324","throw ""Temporary semicolon Depends On phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","349","$dependsRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","401","$roadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","441","$roadmapPath = Join-Path $repoRoot ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","473","$trimStatusRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","496","throw ""Temporary trimmed Status phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","514","$trimPriorityRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","536","throw ""Temporary trimmed Priority phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","554","$trimOwnerRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","576","throw ""Temporary trimmed Owner phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","594","$trimDocumentationOnlyRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","616","throw ""Temporary trimmed Documentation Only phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","640","$documentationOnlyYesRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","662","throw ""Temporary Documentation Only Yes phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","697","$documentationOnlyNoRoadmapPath = Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\test-roadmap.ps1","719","throw ""Temporary Documentation Only No phase was not generated into ROADMAP_CURRENT.json."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\update-roadmap.ps1","691","$outputPath = [System.IO.Path]::GetFullPath((Join-Path $PSScriptRoot ""..\docs\governance\ROADMAP_CURRENT.json""))"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\update-roadmap.ps1","774","Write-Host ""docs/governance/ROADMAP_CURRENT.json regenerated from PHASE_*.md files"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate_mcp03_invariants.py","8","CURRENT = GOV / ""ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate_mcp03_invariants.py","18","js = ""docs/governance/ROADMAP_CURRENT.json"" in changed"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate_mcp03_invariants.py","47","print(f""  FAIL: ROADMAP_CURRENT.json invalid: {e}"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","2","[string]$Path = (Join-Path (Join-Path $PSScriptRoot "".."") ""docs/governance/ROADMAP_CURRENT.json"")"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","103","Fail ""ROADMAP_CURRENT.json is required but was not found: $Path"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","109","Fail (""ROADMAP_CURRENT.json parse failed: "" + $PSItem.Exception.Message)"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","126","Assert-Property -Object $json -Name $field -Scope ""docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","130","Fail ""ROADMAP_CURRENT.json schema_version must be `""2.0`""."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","134","Fail ""ROADMAP_CURRENT.json roadmap_version must be `""current`""."""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap.ps1","278","Write-Host ""ROADMAP_CURRENT.json schema validation passed"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap-authority.ps1","9","$current = Join-Path $repoRoot 'docs/governance/ROADMAP_CURRENT.json'"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\validate-roadmap-authority.ps1","46","Fail ""Operational roadmap must not claim authority: phrase '$phrase' found in docs/governance/ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","21","$roadmapPath = Join-Path $repoRoot ""docs\governance\ROADMAP_CURRENT.json"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","23","throw ""ROADMAP_CURRENT.json not found at $roadmapPath"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","31","throw ""ROADMAP_CURRENT.json parsed but has no top-level properties"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","43","throw (""ROADMAP_CURRENT.json missing expected collection property. Found: "" + ($props -join "", ""))"
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","48","throw ""ROADMAP_CURRENT.json property '$phaseLikeProperty' is empty"""
"ROADMAP_CURRENT","SCRIPT_SUPPORT","scripts\verify-roadmap-smoke.ps1","53","throw ""ROADMAP_CURRENT.json missing required property '$requiredProp'"""
